--- Log Report ---
[OK] PID 37980 | scheduled task 032 | Duration: 33 00:00:33
[OK] PID 57672 | scheduled task 796 | Duration: 7 00:00:07
[ERROR] PID 81258 | background job wmy | Duration: 886 00:14:46
[ERROR] PID 45135 | scheduled task 515 | Duration: 743 00:12:23
[ERROR] PID 39547 | scheduled task 051 | Duration: 689 00:11:29
[OK] PID 10515 | scheduled task 386 | Duration: 111 00:01:51
[OK] PID 90812 | background job dej | Duration: 246 00:04:06
[OK] PID 23118 | scheduled task 188 | Duration: 39 00:00:39
[OK] PID 90962 | scheduled task 996 | Duration: 115 00:01:55
[OK] PID 60134 | background job ulp | Duration: 44 00:00:44
[WARNING] PID 87228 | scheduled task 268 | Duration: 568 00:09:28
[ERROR] PID 70808 | scheduled task 182 | Duration: 2023 00:33:43
[OK] PID 47139 | scheduled task 946 | Duration: 206 00:03:26
[WARNING] PID 71766 | scheduled task 074 | Duration: 347 00:05:47
[OK] PID 75164 | scheduled task 173 | Duration: 64 00:01:04
[OK] PID 26831 | scheduled task 538 | Duration: 132 00:02:12
[OK] PID 36709 | background job djw | Duration: 50 00:00:50
[WARNING] PID 50295 | scheduled task 811 | Duration: 395 00:06:35
[OK] PID 32904 | scheduled task 697 | Duration: 34 00:00:34
[WARNING] PID 27222 | scheduled task 294 | Duration: 368 00:06:08
[OK] PID 38579 | background job you | Duration: 213 00:03:33
[OK] PID 32674 | scheduled task 626 | Duration: 86 00:01:26
[OK] PID 24799 | scheduled task 536 | Duration: 7 00:00:07
[OK] PID 33528 | scheduled task 706 | Duration: 202 00:03:22
[ERROR] PID 39860 | scheduled task 460 | Duration: 1192 00:19:52
[WARNING] PID 87570 | scheduled task 794 | Duration: 473 00:07:53
[OK] PID 55722 | background job cmx | Duration: 47 00:00:47
[ERROR] PID 85742 | scheduled task 064 | Duration: 737 00:12:17
[ERROR] PID 22003 | scheduled task 004 | Duration: 673 00:11:13
[OK] PID 64591 | scheduled task 521 | Duration: 110 00:01:50
[WARNING] PID 99672 | background job sqm | Duration: 313 00:05:13
[OK] PID 67833 | scheduled task 080 | Duration: 215 00:03:35
[OK] PID 96183 | scheduled task 678 | Duration: 254 00:04:14
[WARNING] PID 86716 | background job xfg | Duration: 334 00:05:34
[OK] PID 34189 | scheduled task 920 | Duration: 199 00:03:19
[ERROR] PID 52532 | background job tqc | Duration: 833 00:13:53
[OK] PID 16168 | scheduled task 773 | Duration: 16 00:00:16
[WARNING] PID 98746 | scheduled task 746 | Duration: 437 00:07:17
[ERROR] PID 23703 | scheduled task 374 | Duration: 806 00:13:26
[ERROR] PID 62401 | scheduled task 936 | Duration: 624 00:10:24
[OK] PID 81470 | background job wiy | Duration: 63 00:01:03
[WARNING] PID 24482 | scheduled task 672 | Duration: 516 00:08:36
[OK] PID 62922 | scheduled task 531 | Duration: 49 00:00:49
